Format Version,1.23,Take Name,ProvaRigidBody,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-27 03.38.09.939 PM,Capture Start Frame,684677,Total Frames in Take,3452,Total Exported Frames,3452,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,"Ragnetto:Marker1","Ragnetto:Marker1","Ragnetto:Marker1","Ragnetto:Marker1","Ragnetto:Marker2","Ragnetto:Marker2","Ragnetto:Marker2","Ragnetto:Marker2","Ragnetto:Marker3","Ragnetto:Marker3","Ragnetto:Marker3","Ragnetto:Marker3","Ragnetto:Marker4","Ragnetto:Marker4","Ragnetto:Marker4","Ragnetto:Marker4",Ragnetto:Marker1,Ragnetto:Marker1,Ragnetto:Marker1,Ragnetto:Marker2,Ragnetto:Marker2,Ragnetto:Marker2,Ragnetto:Marker3,Ragnetto:Marker3,Ragnetto:Marker3,Ragnetto:Marker4,Ragnetto:Marker4,Ragnetto:Marker4
,ID,"54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","C6800","C6800","C6800","A15FD681EC4711EE5F75BB645DD45CA7","A15FD681EC4711EE5F75BB645DD45CA7","A15FD681EC4711EE5F75BB645DD45CA7","C65B0","C65B0","C65B0","C68C0","C68C0","C68C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.149361,-0.568893,-0.043389,0.807571,-0.087448,0.994073,-0.794972,0.001122,0.042925,0.990646,-0.741454,0.776980,-0.071090,0.968103,-0.709216,0.000000,0.035839,1.009977,-0.806349,0.954169,-0.087358,0.994083,-0.794975,0.776560,0.042164,0.990712,-0.741915,,,,0.035762,1.009921,-0.806193,-0.086516,0.994076,-0.794676
1,0.002778,0.143539,-0.567756,-0.043152,0.809437,-0.087959,0.994178,-0.794836,0.001235,0.042627,0.990541,-0.741855,0.776980,-0.071371,0.968983,-0.708893,0.000000,0.035365,1.009255,-0.806911,0.954169,-0.087869,0.994187,-0.794839,0.776560,0.041958,0.990597,-0.742252,,,,0.035116,1.009187,-0.806763,-0.086832,0.994200,-0.794559
2,0.005556,0.137857,-0.566945,-0.044355,0.810927,-0.088511,0.994750,-0.794814,0.001400,0.042246,0.990495,-0.742302,0.804843,-0.071793,0.970126,-0.708730,0.000000,0.034882,1.008734,-0.807482,0.925692,-0.088422,0.994759,-0.794817,0.731235,0.041792,0.990530,-0.742555,,,,0.034296,1.008643,-0.807336,-0.087046,0.994833,-0.794675
3,0.008333,0.134579,-0.565902,-0.044334,0.812206,-0.088859,0.994834,-0.794698,0.001440,0.042063,0.990442,-0.742610,0.868999,-0.071926,0.970637,-0.708535,0.000000,0.034535,1.008340,-0.807866,0.845524,-0.088769,0.994842,-0.794702,0.640481,0.041606,0.990478,-0.742864,,,,0.033943,1.008251,-0.807715,-0.087340,0.994916,-0.794562
4,0.011111,0.131117,-0.565062,-0.044123,0.813368,-0.089295,0.994937,-0.794686,0.001601,0.041765,0.990436,-0.742955,0.847842,-0.072188,0.971211,-0.708427,0.000000,0.034103,1.007961,-0.808297,0.851313,-0.089205,0.994945,-0.794690,0.601634,0.041255,0.990489,-0.743284,,,,0.033553,1.007863,-0.808092,-0.087624,0.995012,-0.794506
5,0.013889,0.127337,-0.563432,-0.044027,0.815102,-0.089715,0.995028,-0.794467,0.001524,0.041582,0.990402,-0.743351,0.853141,-0.072266,0.971808,-0.708139,0.000000,0.033659,1.007525,-0.808768,0.864896,-0.089626,0.995036,-0.794471,0.602225,0.041050,0.990432,-0.743599,,,,0.033134,1.007459,-0.808660,-0.088049,0.995090,-0.794262
6,0.016667,0.121409,-0.560986,-0.042141,0.817789,-0.090271,0.994774,-0.793994,0.001337,0.041371,0.990408,-0.743751,0.853141,-0.072274,0.972565,-0.707512,0.000000,0.033033,1.006751,-0.809316,0.864896,-0.090181,0.994782,-0.793999,0.602225,0.040831,0.990414,-0.743911,,,,0.032530,1.006715,-0.809304,-0.088766,0.994822,-0.793798
7,0.019444,0.115289,-0.559567,-0.040756,0.819715,-0.090674,0.994807,-0.793828,0.001531,0.041184,0.990496,-0.744148,0.859039,-0.072362,0.973554,-0.707172,0.000000,0.032604,1.006091,-0.809863,0.873945,-0.090584,0.994813,-0.793834,0.642404,0.040700,0.990524,-0.744380,,,,0.032026,1.006022,-0.809722,-0.088994,0.994875,-0.793698
8,0.022222,0.112227,-0.558671,-0.040650,0.820755,-0.091059,0.994889,-0.793733,0.001642,0.040926,0.990451,-0.744407,0.865653,-0.072563,0.974042,-0.707019,0.000000,0.032205,1.005723,-0.810179,0.850106,-0.090970,0.994896,-0.793740,0.600726,0.040437,0.990485,-0.744665,,,,0.031638,1.005650,-0.810008,-0.089242,0.994958,-0.793598
9,0.025000,0.107876,-0.558605,-0.040690,0.821381,-0.091852,0.994942,-0.793691,0.001881,0.040169,0.990219,-0.744486,0.899107,-0.073354,0.974633,-0.706849,0.000000,0.031444,1.005057,-0.810357,0.883423,-0.091762,0.994949,-0.793698,0.409499,0.039788,0.990230,-0.744617,,,,0.030987,1.005015,-0.810275,-0.089406,0.995037,-0.793563
10,0.027778,0.103960,-0.556442,-0.039010,0.823434,-0.092169,0.994950,-0.793374,0.002057,0.040131,0.990515,-0.744897,0.895426,-0.073186,0.975367,-0.706470,0.000000,0.031038,1.004797,-0.810841,0.859940,-0.092079,0.994956,-0.793381,0.383415,0.039809,0.990558,-0.745160,,,,0.030576,1.004707,-0.810536,-0.089621,0.995103,-0.793510
11,0.030556,,,,,,,,,,,,,,,,,,,,,,,,,0.039524,0.990666,-0.745525,,,,0.029848,1.004191,-0.811001,,,
12,0.033333,0.091984,-0.551829,-0.038252,0.827986,-0.093218,0.996018,-0.792773,0.001249,0.039672,0.991164,-0.745979,0.895426,-0.073269,0.978065,-0.705733,0.000000,0.029838,1.004151,-0.812085,0.859940,-0.093129,0.996023,-0.792781,0.383415,0.039425,0.991203,-0.746229,-0.072618,0.978202,-0.706269,0.029425,1.003966,-0.811265,,,
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,0.039087,0.991076,-0.746303,,,,0.028987,1.003606,-0.811676,,,
14,0.038889,,,,,,,,,,,,,,,,,,,,,,,,,0.038911,0.991195,-0.746680,,,,0.028434,1.003405,-0.811845,,,
15,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,0.038573,0.991242,-0.747043,,,,0.027796,1.003308,-0.812292,,,
16,0.044444,0.082532,-0.545080,-0.036067,0.833532,-0.095318,0.995948,-0.791650,0.000743,0.038353,0.991255,-0.747117,0.947579,-0.073923,0.979504,-0.704656,0.876140,0.027417,1.003067,-0.813269,0.830857,-0.095228,0.995952,-0.791660,0.000000,0.038367,0.991293,-0.747322,-0.073606,0.979584,-0.705027,0.027085,1.002949,-0.812692,,,
17,0.047222,0.080124,-0.542804,-0.035664,0.835268,-0.095863,0.995987,-0.791093,0.000357,0.038056,0.991302,-0.747312,0.947579,-0.073989,0.979910,-0.704149,0.876140,0.026754,1.002828,-0.813454,0.830857,-0.095774,0.995991,-0.791103,0.000000,0.038201,0.991353,-0.747571,-0.074062,0.979916,-0.704194,0.026682,1.002771,-0.813151,,,
18,0.050000,0.077389,-0.541306,-0.033526,0.836585,-0.096320,0.995581,-0.790918,0.000352,0.037769,0.991326,-0.747614,0.924850,-0.074101,0.980133,-0.703948,0.978545,0.026206,1.002379,-0.813792,0.920773,-0.096230,0.995585,-0.790929,0.000000,0.037920,0.991377,-0.747878,-0.074194,0.980135,-0.703976,0.026148,1.002326,-0.813499,,,
19,0.052778,0.076179,-0.538624,-0.031975,0.838486,-0.096917,0.995169,-0.790234,0.000662,0.037452,0.991323,-0.747772,0.922934,-0.074116,0.980094,-0.703349,0.975772,0.025447,1.002102,-0.813915,0.924271,-0.096828,0.995173,-0.790245,0.000000,0.037742,0.991395,-0.748141,-0.074589,0.980030,-0.703061,0.025630,1.002094,-0.813834,,,
20,0.055556,0.074032,-0.537335,-0.030859,0.839547,-0.097306,0.994976,-0.790123,0.000760,0.037201,0.991312,-0.748082,0.876071,-0.074223,0.980321,-0.703241,0.829382,0.024981,1.001770,-0.814238,0.940152,-0.097217,0.994980,-0.790135,0.000000,0.037529,0.991383,-0.748447,-0.074790,0.980242,-0.702870,0.025220,1.001779,-0.814245,,,
21,0.058333,0.072314,-0.535444,-0.030426,0.840919,-0.097842,0.994897,-0.789842,0.000822,0.036858,0.991275,-0.748420,0.866157,-0.074362,0.980523,-0.703018,0.814107,0.024336,1.001515,-0.814553,0.935749,-0.097753,0.994901,-0.789854,0.000000,0.037219,0.991349,-0.748808,-0.074979,0.980438,-0.702612,0.024592,1.001525,-0.814571,,,
22,0.061111,0.070315,-0.533650,-0.029678,0.842254,-0.098395,0.994842,-0.789647,0.000843,0.036487,0.991322,-0.748812,0.852443,-0.074536,0.980823,-0.702869,0.822243,0.023675,1.001287,-0.814932,0.932909,-0.098305,0.994846,-0.789660,0.000000,0.036827,0.991406,-0.749287,-0.075128,0.980745,-0.702484,0.023928,1.001281,-0.814842,,,
23,0.063889,0.069053,-0.532533,-0.031393,0.843003,-0.098847,0.995100,-0.789427,0.000756,0.036141,0.991049,-0.748995,0.852443,-0.074785,0.981014,-0.702716,0.822243,0.023172,1.001044,-0.815080,0.932909,-0.098758,0.995103,-0.789440,0.000000,0.036325,0.991119,-0.749416,-0.075292,0.980938,-0.702313,0.023496,1.001050,-0.815062,,,
24,0.066667,0.067445,-0.531123,-0.033056,0.843959,-0.099436,0.995266,-0.789152,0.000543,0.035683,0.990679,-0.749218,0.883924,-0.075111,0.981162,-0.702517,0.836835,0.022510,1.000665,-0.815264,0.918756,-0.099347,0.995269,-0.789165,0.000000,0.035477,0.990732,-0.749583,-0.075377,0.981095,-0.702121,0.022981,1.000680,-0.815295,,,
25,0.069444,0.065052,-0.529914,-0.029142,0.845050,-0.099762,0.994560,-0.789051,0.000591,0.035488,0.990883,-0.749466,0.894431,-0.075133,0.981277,-0.702373,0.879578,0.022086,1.000266,-0.815554,0.881907,-0.099673,0.994563,-0.789064,0.000000,0.035424,0.990939,-0.749862,-0.075456,0.981216,-0.702008,0.022472,1.000271,-0.815523,,,
26,0.072222,0.063183,-0.528225,-0.029411,0.846240,-0.100134,0.994722,-0.788666,0.000629,0.035275,0.990870,-0.749647,0.895011,-0.075164,0.981640,-0.702055,0.866576,0.021611,1.000088,-0.815704,0.894056,-0.100045,0.994725,-0.788680,0.000000,0.035197,0.990927,-0.750055,-0.075510,0.981575,-0.701653,0.022035,1.000096,-0.815697,,,
27,0.075000,0.061746,-0.527036,-0.028039,0.847133,-0.100469,0.994425,-0.788506,0.000611,0.035055,0.990861,-0.749860,0.908843,-0.075238,0.981708,-0.701916,0.863296,0.021193,0.999807,-0.815914,0.894606,-0.100380,0.994428,-0.788520,0.000000,0.034992,0.990910,-0.750216,-0.075592,0.981643,-0.701505,0.021611,0.999824,-0.815970,,,
28,0.077778,0.060898,-0.525931,-0.027042,0.847913,-0.100782,0.994211,-0.788333,0.000612,0.034846,0.990877,-0.750034,0.919126,-0.075312,0.981737,-0.701778,0.856686,0.020803,0.999642,-0.816074,0.892400,-0.100693,0.994214,-0.788347,0.000000,0.034807,0.990919,-0.750352,-0.075687,0.981670,-0.701350,0.021218,0.999666,-0.816183,,,
29,0.080556,0.060278,-0.525006,-0.026399,0.848551,-0.101036,0.994086,-0.788205,0.000583,0.034678,0.990898,-0.750198,0.919126,-0.075368,0.981779,-0.701684,0.856686,0.020484,0.999539,-0.816222,0.892400,-0.100947,0.994089,-0.788219,0.000000,0.034626,0.990938,-0.750498,-0.075723,0.981715,-0.701269,0.020891,0.999564,-0.816336,,,
30,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.086111,0.060033,-0.522924,-0.025194,0.849889,-0.101627,0.993846,-0.787890,0.000530,0.034275,0.991010,-0.750530,0.937775,-0.075518,0.981744,-0.701472,0.872699,0.019746,0.999507,-0.816500,0.911790,-0.101538,0.993850,-0.787905,0.000000,0.034291,0.991044,-0.750776,-0.075864,0.981686,-0.701103,0.020076,0.999531,-0.816623,,,
32,0.088889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.091667,0.060917,-0.521419,-0.025058,0.850755,-0.102131,0.993934,-0.787732,0.000426,0.033900,0.991236,-0.750839,0.954440,-0.075712,0.981753,-0.701420,0.894401,0.019135,0.999800,-0.816747,0.925482,-0.102043,0.993938,-0.787748,0.000000,0.033918,0.991261,-0.751019,-0.075997,0.981704,-0.701113,0.019404,0.999824,-0.816875,,,
34,0.094444,0.061559,-0.520835,-0.025446,0.851055,-0.102327,0.994097,-0.787697,0.000394,0.033753,0.991358,-0.750987,0.954440,-0.075793,0.981790,-0.701438,0.894401,0.018900,1.000018,-0.816863,0.925482,-0.102239,0.994101,-0.787712,0.000000,0.033735,0.991381,-0.751158,-0.076046,0.981743,-0.701143,0.019172,1.000042,-0.816987,,,
35,0.097222,0.062302,-0.517205,-0.025473,0.853210,-0.103046,0.994078,-0.786716,0.000784,0.033341,0.991470,-0.751152,0.956627,-0.075773,0.981701,-0.700697,0.901975,0.017925,1.000191,-0.816891,0.925039,-0.102958,0.994082,-0.786732,0.000000,0.033277,0.991489,-0.751419,-0.076102,0.981774,-0.701135,0.018942,1.000257,-0.817090,-0.103614,0.993889,-0.785615
36,0.100000,0.062598,-0.516780,-0.025402,0.853449,-0.103114,0.994224,-0.786771,0.000643,0.033308,0.991667,-0.751338,0.931054,-0.075753,0.981824,-0.700784,0.861910,0.017826,1.000409,-0.817059,0.740235,-0.103025,0.994228,-0.786788,0.672744,0.033082,0.991712,-0.751629,-0.076140,0.981863,-0.701129,0.018701,1.000437,-0.817207,-0.103260,0.994114,-0.785997
37,0.102778,0.062292,-0.516096,-0.024745,0.853904,-0.103262,0.994233,-0.786754,0.000631,0.033217,0.991844,-0.751532,0.888296,-0.075755,0.981963,-0.700795,0.877769,0.017623,1.000491,-0.817239,0.794455,-0.103174,0.994237,-0.786770,0.806960,0.032892,0.991874,-0.751837,-0.076142,0.982005,-0.701091,0.018429,1.000535,-0.817398,-0.103260,0.994121,-0.786012
38,0.105556,0.061240,-0.514620,-0.023196,0.854914,-0.103548,0.994044,-0.786432,0.000684,0.033056,0.992021,-0.751670,0.876568,-0.075725,0.982120,-0.700526,0.875335,0.017222,1.000413,-0.817352,0.766958,-0.103459,0.994048,-0.786449,0.854893,0.032733,0.992066,-0.752041,-0.076222,0.982106,-0.700493,0.018118,1.000466,-0.817603,-0.103486,0.993968,-0.785875
39,0.108333,0.059958,-0.513089,-0.021525,0.855968,-0.103781,0.993858,-0.786258,0.000638,0.032949,0.992214,-0.751975,0.891415,-0.075631,0.982324,-0.700405,0.872035,0.016867,1.000317,-0.817633,0.780231,-0.103692,0.993862,-0.786275,0.852245,0.032608,0.992238,-0.752242,-0.076141,0.982311,-0.700356,0.017659,1.000389,-0.818007,-0.103608,0.993781,-0.785696
40,0.111111,0.057676,-0.511294,-0.019356,0.857250,-0.104056,0.993539,-0.786014,0.000683,0.032819,0.992331,-0.752300,0.891415,-0.075526,0.982585,-0.700211,0.872035,0.016447,1.000000,-0.817939,0.780231,-0.103968,0.993543,-0.786031,0.852245,0.032520,0.992373,-0.752601,-0.076064,0.982570,-0.700232,0.017303,1.000053,-0.818279,-0.103943,0.993466,-0.785385
41,0.113889,0.054531,-0.509489,-0.017617,0.858567,-0.104400,0.993263,-0.785750,0.000627,0.032621,0.992301,-0.752626,0.893334,-0.075495,0.982932,-0.699995,0.865313,0.015962,0.999493,-0.818247,0.769200,-0.104312,0.993267,-0.785768,0.837205,0.032425,0.992425,-0.752834,-0.076092,0.982843,-0.699992,0.016659,0.999461,-0.818679,-0.104209,0.993263,-0.785135
42,0.116667,0.049267,-0.508035,-0.015574,0.859785,-0.104377,0.993348,-0.785751,0.000486,0.032765,0.992528,-0.753124,0.921942,-0.075171,0.983930,-0.699993,0.849182,0.015874,0.999013,-0.818759,0.794861,-0.104289,0.993352,-0.785769,0.839541,0.032569,0.992489,-0.753281,-0.075515,0.984014,-0.700432,0.016415,0.999091,-0.818920,-0.104290,0.993229,-0.785011
43,0.119444,0.045766,-0.507075,-0.015049,0.860555,-0.104609,0.993428,-0.785510,0.000615,0.032612,0.992474,-0.753219,0.927674,-0.075212,0.984501,-0.699764,0.846117,0.015573,0.998569,-0.818853,0.829967,-0.104521,0.993431,-0.785528,0.826360,0.032531,0.992450,-0.753496,-0.075811,0.984545,-0.699898,0.016190,0.998656,-0.819125,-0.104458,0.993323,-0.784845
44,0.122222,0.041360,-0.505993,-0.014205,0.861428,-0.104734,0.993449,-0.785385,0.000611,0.032573,0.992370,-0.753470,0.936598,-0.075122,0.985164,-0.699649,0.839129,0.015368,0.997957,-0.819106,0.829210,-0.104646,0.993451,-0.785404,0.829010,0.032491,0.992368,-0.753710,-0.075761,0.985183,-0.699725,0.015951,0.998022,-0.819455,-0.104509,0.993370,-0.784739
45,0.125000,0.036678,-0.505620,-0.015004,0.861846,-0.104599,0.993780,-0.785285,0.000776,0.032740,0.992100,-0.753533,0.872957,-0.074928,0.985940,-0.699527,0.801917,0.015484,0.997314,-0.819187,0.882152,-0.104511,0.993782,-0.785303,0.708221,0.032465,0.992263,-0.753928,-0.075710,0.985825,-0.699469,0.015808,0.997213,-0.819514,-0.103648,0.993843,-0.784520
46,0.127778,0.029242,-0.503520,-0.012281,0.863401,-0.104841,0.993650,-0.785014,0.000446,0.032658,0.992100,-0.753954,0.872957,-0.074741,0.987072,-0.699300,0.801917,0.015072,0.996334,-0.819590,0.882152,-0.104753,0.993652,-0.785033,0.708221,0.032567,0.992097,-0.754195,-0.075162,0.987089,-0.699355,0.015512,0.996366,-0.819751,-0.104682,0.993605,-0.784576
47,0.130556,0.022604,-0.503050,-0.011434,0.863886,-0.104988,0.993749,-0.784930,0.000577,0.032545,0.991867,-0.754043,0.935643,-0.074799,0.988071,-0.699183,0.893956,0.014887,0.995383,-0.819702,0.882526,-0.104900,0.993750,-0.784949,0.883744,0.032563,0.991923,-0.754393,-0.075479,0.988037,-0.699029,0.015362,0.995367,-0.819959,-0.104714,0.993745,-0.784496
48,0.133333,0.015742,-0.501542,-0.011416,0.864915,-0.105015,0.994094,-0.784772,0.000438,0.032620,0.991644,-0.754382,0.898577,-0.074536,0.989229,-0.699078,0.908192,0.014734,0.994500,-0.820012,0.882033,-0.104927,0.994094,-0.784792,0.890186,0.032407,0.991498,-0.754695,-0.074881,0.989354,-0.699101,0.015175,0.994655,-0.820077,-0.104810,0.993959,-0.784391
49,0.136111,0.009478,-0.500404,-0.011316,0.865666,-0.105174,0.994319,-0.784537,0.000584,0.032531,0.991366,-0.754511,0.868289,-0.074477,0.990206,-0.698881,0.827554,0.014473,0.993613,-0.820117,0.849186,-0.105086,0.994319,-0.784557,0.902798,0.032508,0.991150,-0.754992,-0.075089,0.990379,-0.698612,0.015020,0.993835,-0.820240,-0.104999,0.994140,-0.784223
50,0.138889,0.002011,-0.498806,-0.010601,0.866646,-0.105386,0.994442,-0.784329,0.000454,0.032416,0.991042,-0.754798,0.903175,-0.074378,0.991305,-0.698744,0.833990,0.014113,0.992509,-0.820358,0.905541,-0.105299,0.994441,-0.784349,0.921345,0.032511,0.990922,-0.755153,-0.074972,0.991405,-0.698465,0.014433,0.992629,-0.820519,-0.105119,0.994341,-0.784111
51,0.141667,-0.006066,-0.496624,-0.011825,0.867864,-0.105344,0.995249,-0.784058,0.000290,0.032570,0.990823,-0.755190,0.903175,-0.073921,0.992885,-0.698599,0.833990,0.013939,0.991642,-0.820669,0.905541,-0.105256,0.995247,-0.784079,0.921345,0.032530,0.990668,-0.755351,-0.074246,0.993014,-0.698684,0.014128,0.991789,-0.820761,-0.105080,0.995125,-0.783741
52,0.144444,-0.013815,-0.495382,-0.010911,0.868497,-0.105391,0.995507,-0.783812,0.000305,0.032579,0.990649,-0.755288,0.943318,-0.073725,0.994173,-0.698420,0.909942,0.013757,0.990645,-0.820718,0.936092,-0.105303,0.995504,-0.783833,0.899885,0.032529,0.990394,-0.755500,-0.073975,0.994373,-0.698428,0.014110,0.990876,-0.820770,-0.105356,0.995326,-0.783560
53,0.147222,-0.021642,-0.494148,-0.010488,0.869045,-0.105481,0.995727,-0.783663,0.000270,0.032534,0.990293,-0.755464,0.916230,-0.073576,0.995362,-0.698352,0.919950,0.013521,0.989508,-0.820834,0.893661,-0.105394,0.995722,-0.783684,0.917559,0.032536,0.990098,-0.755683,-0.073735,0.995510,-0.698423,0.013844,0.989678,-0.820775,-0.105559,0.995599,-0.783453
54,0.150000,-0.030937,-0.492184,-0.009460,0.869890,-0.105669,0.996002,-0.783423,0.000181,0.032430,0.990015,-0.755746,0.927043,-0.073379,0.996854,-0.698260,0.955628,0.013114,0.988257,-0.821008,0.923301,-0.105581,0.995997,-0.783445,0.939579,0.032471,0.989790,-0.755927,-0.073437,0.997018,-0.698300,0.013304,0.988459,-0.820878,-0.105756,0.995856,-0.783353
55,0.152778,-0.037323,-0.491225,-0.009272,0.870183,-0.105633,0.996375,-0.783342,0.000217,0.032486,0.989868,-0.755883,0.907804,-0.073158,0.997991,-0.698260,0.934090,0.013021,0.987492,-0.821081,0.894140,-0.105545,0.996369,-0.783364,0.894116,0.032537,0.989512,-0.755964,-0.073125,0.998248,-0.698308,0.013290,0.987814,-0.821023,-0.105898,0.996146,-0.783292
56,0.155556,-0.045558,-0.489716,-0.009515,0.870639,-0.105659,0.996779,-0.783237,0.000274,0.032487,0.989464,-0.756124,0.886393,-0.072894,0.999307,-0.698289,0.909027,0.012790,0.986343,-0.821221,0.877269,-0.105572,0.996772,-0.783259,0.892181,0.032469,0.989019,-0.756210,-0.072842,0.999641,-0.698154,0.013066,0.986749,-0.821213,-0.105883,0.996478,-0.783315
57,0.158333,-0.053141,-0.488693,-0.009339,0.870786,-0.105672,0.997132,-0.783223,0.000201,0.032475,0.989181,-0.756296,0.886393,-0.072708,1.000555,-0.698383,0.909027,0.012617,0.985335,-0.821305,0.877269,-0.105585,0.997123,-0.783245,0.892181,0.032484,0.988646,-0.756273,-0.072545,1.000944,-0.698379,0.012780,0.985839,-0.821267,-0.105920,0.996765,-0.783310
58,0.161111,-0.062167,-0.487016,-0.009615,0.871125,-0.105509,0.997621,-0.783190,0.000587,0.032650,0.988773,-0.756602,0.866086,-0.072221,1.002034,-0.698522,0.894590,0.012531,0.984116,-0.821478,0.867084,-0.105422,0.997611,-0.783212,0.876320,0.032629,0.988196,-0.756414,-0.071553,1.002410,-0.698923,0.012618,0.984703,-0.821162,-0.106146,0.997233,-0.783328
59,0.163889,-0.067791,-0.486641,-0.010829,0.870900,-0.105504,0.997946,-0.783054,0.000301,0.032594,0.988272,-0.756440,0.848289,-0.072147,1.002836,-0.698439,0.783925,0.012413,0.983210,-0.821266,0.832100,-0.105418,0.997936,-0.783076,0.793890,0.032577,0.987543,-0.756371,-0.071814,1.003356,-0.698448,0.012496,0.983922,-0.821136,-0.105817,0.997433,-0.783267
60,0.166667,-0.073929,-0.485566,-0.011678,0.870990,-0.105537,0.998344,-0.783044,0.000341,0.032538,0.987882,-0.756605,0.826975,-0.071973,1.003811,-0.698547,0.850195,0.012189,0.982337,-0.821339,0.827340,-0.105450,0.998333,-0.783066,0.824402,0.032497,0.987198,-0.756510,-0.071622,1.004297,-0.698561,0.012390,0.982994,-0.821269,-0.105960,0.997874,-0.783217
61,0.169444,-0.082692,-0.484039,-0.015503,0.870993,-0.105504,0.999575,-0.782932,0.000990,0.032456,0.987291,-0.756680,0.887118,-0.071658,1.005495,-0.698578,0.771020,0.011869,0.981316,-0.821300,0.845444,-0.105418,0.999562,-0.782954,0.462072,0.032544,0.986913,-0.756448,-0.070947,1.005865,-0.699021,0.012004,0.981874,-0.821071,-0.107266,0.998465,-0.783051
62,0.172222,-0.085765,-0.484395,-0.029895,0.870122,-0.105125,1.002643,-0.783101,0.000320,0.032335,0.986278,-0.756453,0.887118,-0.071453,1.006906,-0.698578,0.771020,0.011839,0.981424,-0.821196,0.845444,-0.105038,1.002629,-0.783123,0.462072,0.032032,0.986326,-0.756396,-0.071200,1.006858,-0.698699,0.011890,0.981425,-0.821132,,,
63,0.175000,-0.090789,-0.483937,-0.030034,0.869862,-0.105111,1.002871,-0.783019,0.000463,0.032284,0.986021,-0.756341,0.921926,-0.071346,1.007687,-0.698562,0.928922,0.011708,0.980715,-0.821023,0.979494,-0.105025,1.002856,-0.783041,0.000000,0.031981,0.986056,-0.756394,-0.071080,1.007629,-0.698732,0.011744,0.980738,-0.820800,,,
64,0.177778,-0.097735,-0.482871,-0.032092,0.869628,-0.104880,1.003597,-0.783125,0.000737,0.032377,0.985571,-0.756501,0.922603,-0.070920,1.008907,-0.698776,0.919587,0.011635,0.979832,-0.821093,0.943191,-0.104794,1.003580,-0.783147,0.000000,0.031903,0.985649,-0.756455,-0.070438,1.008789,-0.699109,0.011626,0.979873,-0.820805,,,
65,0.180556,-0.101853,-0.482778,-0.033233,0.869165,-0.104957,1.004030,-0.783058,0.000416,0.032182,0.985344,-0.756288,0.906843,-0.070986,1.009654,-0.698735,0.933612,0.011421,0.979333,-0.820849,0.945063,-0.104871,1.004013,-0.783080,0.000000,0.031823,0.985388,-0.756375,-0.070744,1.009603,-0.698833,0.011539,0.979341,-0.820664,,,
